1,"{""name""=>""One Month FREE! Amazing Brand New Apt in coral gables! 1/2/3 Beds!"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/one-month-free-amazing-brand/6494490355.html""}"
2,"{""name""=>""2br+spacious upstairs LOFT/2ba! Newly renovated, all amenities!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2brspacious-upstairs-loft-2ba/6495110926.html""}"
3,"{""name""=>""2br+spacious upstairs LOFT/2ba! Newly renovated, all amenities!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2brspacious-upstairs-loft-2ba/6495147962.html""}"
4,"{""name""=>""2br/2ba Palm Beach Gardens! Gym, pools, jogging track, dog park, lake"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2br-2ba-palm-beach-gardens/6485781768.html""}"
5,"{""name""=>""►SPACIOUS CONDO W/CITY VIEW***"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/spacious-condo-city-view/6497610781.html""}"
6,"{""name""=>""Active 55+ Adult Luxury Living! Breakfast, classes, games, cocktails"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/active-55-adult-luxury-living/6481277790.html""}"
7,"{""name""=>""2 bedroom - Business Center, Private Entrance to Every Home, View"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2-bedroom-business-center/6497725150.html""}"
8,"{""name""=>""3br/2ba ABACOA, JUPITER! 3rd floor unit, all amenities, pet friendly"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/3br-2ba-abacoa-jupiter-3rd/6467899064.html""}"
9,"{""name""=>""2br/2ba in West Palm Beach! Beautiful well maintaned apartments!"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/2br-2ba-in-west-palm-beach/6476276837.html""}"
10,"{""name""=>""►►► HURRY BEFORE ITS GONE 2bed/2.5bath NORTH LAUDERDALE:"", ""link""=>""https://miami.craigslist.org/brw/apa/d/hurry-before-its-gone-2bed/6497724834.html""}"
11,"{""name""=>""SINGLE FAMILY FOR RENT * PLANTATION"", ""link""=>""https://miami.craigslist.org/brw/apa/d/single-family-for-rent/6497724657.html""}"
12,"{""name""=>""Gated Mediterranean Style Condominium with Pool / Gym"", ""link""=>""https://miami.craigslist.org/brw/apa/d/gated-mediterranean-style/6497724580.html""}"
13,"{""name""=>""Direct access one car garage, Vaulted ceilings, Patio or Balcony"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/direct-access-one-car-garage/6483080180.html""}"
14,"{""name""=>""BEST APARTMENTS IN WEST PALM BEACH WITH LUXURY AMENITIES"", ""link""=>""https://miami.craigslist.org/pbc/apa/d/best-apartments-in-west-palm/6475958866.html""}"
15,"{""name""=>""2bed/1.5 baths Direct Ocean View!"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/2bed-15-baths-direct-ocean/6497724308.html""}"
16,"{""name""=>""NEW LUXURY 2/2 IN MIDTOWN **ONLY $500.00 DEPOSIT*FAST APPROVAL**"", ""link""=>""https://miami.craigslist.org/mdc/apa/d/new-luxury-2-2-in-midtown/6478178354.html""}"
